polygon_id,ring_id,is_hole,x_m,y_m
0,0,0,0.0072100000000000107,5.5789400000000002
0,0,0,0.015619999999999981,5.5627899999999997
0,0,0,0.023989999999999987,5.5466100000000003
0,0,0,0.035970000000000023,5.5269500000000003
0,0,0,0.047889999999999988,5.5072200000000002
0,0,0,0.059740000000000029,5.4874299999999998
0,0,0,0.071519999999999986,5.4675700000000003
0,0,0,0.08165,5.4452600000000002
0,0,0,0.091679999999999998,5.42286
0,0,0,0.10161000000000001,5.4003699999999997
0,0,0,0.11143,5.3777900000000001
0,0,0,0.12114999999999999,5.3551200000000003
0,0,0,0.1288,5.3324699999999998
0,0,0,0.13641,5.3097899999999996
0,0,0,0.14398,5.2870699999999999
0,0,0,0.15151000000000001,5.2643199999999997
0,0,0,0.15898999999999999,5.2415500000000002
0,0,0,0.16331999999999999,5.2225299999999999
0,0,0,0.16764000000000001,5.2035099999999996
0,0,0,0.17194999999999999,5.1844799999999998
0,0,0,0.17624999999999999,5.1654499999999999
0,0,0,0.18054999999999999,5.1464100000000004
0,0,0,0.18484,5.12737
0,0,0,0.18912000000000001,5.10832
0,0,0,0.19383,5.08725
0,0,0,0.19853000000000001,5.0661699999999996
0,0,0,0.20322000000000001,5.0450799999999996
0,0,0,0.20788999999999999,5.0239799999999999
0,0,0,0.21254999999999999,5.0028800000000002
0,0,0,0.2172,4.98177
0,0,0,0.22183,4.9606500000000002
0,0,0,0.22645000000000001,4.9395300000000004
0,0,0,0.22917999999999999,4.9185400000000001
0,0,0,0.23189000000000001,4.8975600000000004
0,0,0,0.2346,4.8765700000000001
0,0,0,0.23730999999999999,4.8555700000000002
0,0,0,0.24001,4.8345799999999999
0,0,0,0.24807999999999999,4.7715800000000002
0,0,0,0.25074999999999997,4.7505699999999997
0,0,0,0.25342999999999999,4.7295600000000002
0,0,0,0.25608999999999998,4.7085499999999998
0,0,0,0.25763000000000003,4.6898499999999999
0,0,0,0.25917000000000001,4.6711600000000004
0,0,0,0.26071,4.6524599999999996
0,0,0,0.26379000000000002,4.6150799999999998
0,0,0,0.26533000000000001,4.5963799999999999
0,0,0,0.26687,4.5776899999999996
0,0,0,0.26840999999999998,4.5589899999999997
0,0,0,0.26995000000000002,4.5403000000000002
0,0,0,0.27148,4.5216000000000003
0,0,0,0.27301999999999998,4.50291
0,0,0,0.27456000000000003,4.48421
0,0,0,0.2782,4.4463699999999999
0,0,0,0.28001999999999999,4.4274399999999998
0,0,0,0.28183999999999998,4.4085200000000002
0,0,0,0.28548000000000001,4.37066
0,0,0,0.28728999999999999,4.3517400000000004
0,0,0,0.28910999999999998,4.3328100000000003
0,0,0,0.29092000000000001,4.3138800000000002
0,0,0,0.29274,4.2949599999999997
0,0,0,0.29454999999999998,4.2760300000000004
0,0,0,0.29576999999999998,4.2556399999999996
0,0,0,0.29819000000000001,4.2148599999999998
0,0,0,0.29941000000000001,4.1944699999999999
0,0,0,0.30062,4.17408
0,0,0,0.30181999999999998,4.1536900000000001
0,0,0,0.30303000000000002,4.1333000000000002
0,0,0,0.30423,4.1128999999999998
0,0,0,0.30543999999999999,4.0925099999999999
0,0,0,0.30664000000000002,4.0721100000000003
0,0,0,0.30784,4.0517200000000004
0,0,0,0.30841000000000002,4.0325699999999998
0,0,0,0.30954999999999999,3.9942899999999999
0,0,0,0.31012000000000001,3.9751400000000001
0,0,0,0.31069999999999998,3.956
0,0,0,0.31126999999999999,3.9368599999999998
0,0,0,0.31184000000000001,3.91771
0,0,0,0.31297999999999998,3.8794300000000002
0,0,0,0.31355,3.8602799999999999
0,0,0,0.31412000000000001,3.8411400000000002
0,0,0,0.31469000000000003,3.82199
0,0,0,0.31578000000000001,3.8031700000000002
0,0,0,0.31688,3.7843399999999998
0,0,0,0.31796999999999997,3.76552
0,0,0,0.31906000000000001,3.7466900000000001
0,0,0,0.32014999999999999,3.7278699999999998
0,0,0,0.32124999999999998,3.7090399999999999
0,0,0,0.32234000000000002,3.69021
0,0,0,0.32343,3.6713900000000002
0,0,0,0.32451999999999998,3.6525599999999998
0,0,0,0.32562000000000002,3.63374
0,0,0,0.32779999999999998,3.5960800000000002
0,0,0,0.32839000000000002,3.5764300000000002
0,0,0,0.32896999999999998,3.5567799999999998
0,0,0,0.32955000000000001,3.53714
0,0,0,0.33013999999999999,3.51749
0,0,0,0.33072000000000001,3.4978400000000001
0,0,0,0.33130999999999999,3.4781900000000001
0,0,0,0.33246999999999999,3.4388899999999998
0,0,0,0.33306000000000002,3.4192399999999998
0,0,0,0.33422000000000002,3.3799399999999999
0,0,0,0.33478999999999998,3.3610199999999999
0,0,0,0.33590999999999999,3.3231999999999999
0,0,0,0.33646999999999999,3.3042799999999999
0,0,0,0.33704000000000001,3.2853699999999999
0,0,0,0.33760000000000001,3.2664599999999999
0,0,0,0.33816000000000002,3.2475399999999999
0,0,0,0.33872000000000002,3.2286299999999999
0,0,0,0.33928000000000003,3.2097099999999998
0,0,0,0.33983999999999998,3.1907999999999999
0,0,0,0.34039000000000003,3.1718799999999998
0,0,0,0.34161999999999998,3.15164
0,0,0,0.34283999999999998,3.1314000000000002
0,0,0,0.34406999999999999,3.1111599999999999
0,0,0,0.34650999999999998,3.0706799999999999
0,0,0,0.34772999999999998,3.05043
